Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-06-18,0.00,100.00,100.00,0.25,0.00,0.00,200
2024-06-11,0.00,100.00,100.00,0.25,0.00,0.00,200
2024-06-04,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-05-28,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-05-21,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-05-14,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-05-07,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-04-30,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-04-23,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-04-16,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-04-09,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-04-02,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-03-26,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-03-19,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-03-12,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-03-05,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-02-27,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-02-20,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-02-13,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-02-06,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-01-30,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-01-23,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-01-16,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-01-09,0.00,100.00,100.00,0.18,0.00,0.00,200
2024-01-02,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-12-26,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-12-19,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-12-12,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-12-05,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-11-28,0.00,100.00,100.00,0.18,0.00,0.00,200
2023-11-21,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,100.00,12.40,0.00,312
2023-11-07,0.00,100.00,100.00,100.00,22.41,0.00,322
2023-10-31,0.00,100.00,100.00,100.00,22.41,0.00,322
2023-10-24,0.00,100.00,100.00,100.00,22.41,0.00,322
2023-10-17,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-10-10,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-10-03,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-09-26,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-09-19,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-09-12,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-09-05,0.00,100.00,100.00,100.00,97.80,0.00,398
2023-08-29,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-08-22,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-08-15,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-08-08,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-08-01,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-07-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-07-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-07-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-07-04,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-27,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,30.75,0.00,0.00,0.00,131
2023-06-06,0.00,100.00,29.86,0.00,0.00,0.00,130
2023-05-30,0.00,100.00,30.14,0.00,0.00,0.00,130
2023-05-23,0.00,100.00,30.14,0.00,0.00,0.00,130
2023-05-16,0.00,100.00,79.85,0.00,0.00,0.00,180
2023-05-09,0.00,100.00,79.85,0.00,0.00,0.00,180
2023-05-02,0.00,100.00,79.88,0.00,0.00,0.00,180
2023-04-25,0.00,100.00,11.21,0.00,0.00,0.00,111
2023-04-18,0.00,100.00,11.21,0.00,0.00,0.00,111
2023-04-11,0.00,100.00,11.21,0.00,0.00,0.00,111
2023-04-04,0.00,100.00,11.40,0.00,0.00,0.00,111
2023-03-28,0.00,100.00,11.40,0.00,0.00,0.00,111
2023-03-21,0.00,100.00,11.40,0.00,0.00,0.00,111
2023-03-14,0.00,100.00,11.40,0.00,0.00,0.00,111
2023-03-07,0.00,100.00,11.40,0.00,0.00,0.00,111
2023-02-28,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-02-21,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-02-14,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-02-07,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-01-31,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-01-24,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-01-17,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-01-10,0.00,100.00,23.99,0.00,0.00,0.00,124
2023-01-03,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-12-27,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-12-20,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-12-13,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-12-06,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-11-29,0.00,100.00,23.99,0.00,0.00,0.00,124
2022-11-22,0.00,100.00,24.26,0.00,0.00,0.00,124
2022-11-15,0.00,100.00,24.26,0.00,0.00,0.00,124
2022-11-08,0.00,100.00,24.26,0.00,0.00,0.00,124
2022-11-01,0.00,100.00,24.26,0.00,0.00,0.00,124
2022-10-25,0.00,100.00,24.24,0.00,0.00,0.00,124
2022-10-18,0.00,100.00,24.24,0.00,0.00,0.00,124
2022-10-11,0.00,100.00,24.24,0.00,0.00,0.00,124
2022-10-04,0.00,100.00,49.35,0.00,0.00,0.00,149
2022-09-27,0.00,100.00,49.42,0.00,0.00,0.00,149
2022-09-20,0.00,100.00,49.42,0.00,0.00,0.00,149
2022-09-13,0.00,100.00,49.42,0.00,0.00,0.00,149
2022-09-06,0.00,100.00,99.65,0.00,0.00,0.00,200
2022-08-30,0.00,100.00,100.00,45.29,0.00,0.00,245
2022-08-23,0.00,100.00,100.00,100.00,45.28,0.00,345
2022-08-16,0.00,100.00,100.00,100.00,48.55,12.86,361
2022-08-09,0.00,100.00,100.00,100.00,48.76,12.86,362
2022-08-02,0.00,100.00,100.00,100.00,48.76,12.86,362
2022-07-26,0.00,100.00,100.00,100.00,93.76,12.86,407
2022-07-19,0.00,100.00,100.00,100.00,93.76,12.86,407
2022-07-12,0.00,100.00,100.00,100.00,93.76,12.86,407
2022-07-05,0.00,100.00,100.00,100.00,100.00,27.26,427
2022-06-28,0.00,100.00,100.00,100.00,100.00,27.26,427
2022-06-21,0.00,100.00,100.00,100.00,100.00,76.07,476
2022-06-14,0.00,100.00,100.00,100.00,100.00,76.07,476
2022-06-07,0.00,100.00,100.00,100.00,100.00,76.07,476
2022-05-31,0.00,100.00,100.00,100.00,100.00,100.00,500
2022-05-24,0.00,100.00,100.00,100.00,100.00,100.00,500
2022-05-17,0.00,100.00,100.00,100.00,100.00,100.00,500
2022-05-10,0.00,100.00,100.00,100.00,100.00,40.38,440
2022-05-03,0.00,100.00,100.00,100.00,100.00,40.38,440
2022-04-26,0.00,100.00,100.00,100.00,100.00,0.00,400
2022-04-19,0.00,100.00,100.00,100.00,100.00,0.00,400
2022-04-12,0.00,100.00,100.00,100.00,100.00,0.00,400
2022-04-05,0.00,100.00,100.00,100.00,100.00,0.00,400
2022-03-29,0.00,100.00,100.00,100.00,100.00,0.00,400
2022-03-22,0.00,100.00,100.00,100.00,48.79,0.00,349
2022-03-15,0.00,100.00,100.00,100.00,48.79,0.00,349
2022-03-08,0.00,100.00,100.00,100.00,18.50,0.00,319
2022-03-01,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-02-22,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-02-15,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-02-08,0.00,100.00,100.00,49.86,0.00,0.00,250
2022-02-01,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-01-25,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-01-18,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-01-11,0.00,100.00,100.00,49.18,0.00,0.00,249
2022-01-04,0.00,100.00,100.00,0.00,0.00,0.00,200
2021-12-28,0.00,100.00,100.00,0.00,0.00,0.00,200
2021-12-21,0.00,100.00,100.00,0.00,0.00,0.00,200
2021-12-14,0.00,100.00,100.00,0.00,0.00,0.00,200
2021-12-07,0.00,100.00,100.00,0.00,0.00,0.00,200
2021-11-30,0.00,100.00,29.87,0.00,0.00,0.00,130
2021-11-23,0.00,100.00,0.00,0.00,0.00,0.00,100
2021-11-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2021-11-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2021-11-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2021-10-26,42.21,57.79,0.00,0.00,0.00,0.00,58
2021-10-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-10-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-10-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-09-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-09-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-09-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-09-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-08-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-08-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-08-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-08-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-08-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-07-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-07-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-07-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2021-07-06,11.82,88.18,0.00,0.00,0.00,0.00,88
2021-06-29,11.82,88.18,48.16,0.00,0.00,0.00,136
2021-06-22,0.00,100.00,88.18,48.35,0.00,0.00,237
2021-06-15,0.00,100.00,88.18,49.34,0.00,0.00,238
2021-06-08,0.00,100.00,88.18,49.34,0.00,0.00,238
2021-06-01,0.00,100.00,100.00,99.48,47.57,25.15,372
2021-05-25,0.00,100.00,100.00,100.00,89.60,46.30,436
2021-05-18,0.00,100.00,100.00,100.00,87.77,46.30,434
2021-05-11,0.00,100.00,100.00,100.00,87.77,46.30,434
2021-05-04,0.00,100.00,100.00,100.00,87.77,46.30,434
2021-04-27,0.00,100.00,100.00,100.00,100.00,46.48,446
2021-04-20,0.00,100.00,100.00,100.00,100.00,46.48,446
2021-04-13,0.00,100.00,100.00,100.00,100.00,46.48,446
2021-04-06,0.00,100.00,100.00,100.00,100.00,46.48,446
2021-03-30,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-03-23,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-03-16,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-03-09,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-03-02,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-02-23,0.00,100.00,100.00,100.00,66.34,27.47,394
2021-02-16,0.00,100.00,100.00,100.00,92.74,42.00,435
2021-02-09,0.00,100.00,100.00,100.00,100.00,42.00,442
2021-02-02,0.00,100.00,100.00,100.00,100.00,42.00,442
2021-01-26,0.00,100.00,100.00,100.00,100.00,42.00,442
2021-01-19,0.00,100.00,100.00,100.00,100.00,42.00,442
2021-01-12,0.00,100.00,100.00,100.00,100.00,42.00,442
2021-01-05,0.00,100.00,100.00,100.00,100.00,81.77,482
2020-12-29,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-12-22,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-12-15,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-12-08,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-12-01,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-11-24,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-11-17,0.00,100.00,100.00,100.00,100.00,100.00,500
2020-11-10,0.00,100.00,100.00,100.00,100.00,98.83,499
2020-11-03,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-10-27,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-10-20,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-10-13,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-10-06,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-09-29,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-09-22,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-09-15,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-09-08,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-09-01,0.00,100.00,100.00,100.00,100.00,0.00,400
2020-08-25,0.00,100.00,100.00,100.00,32.47,0.00,332
2020-08-18,0.00,100.00,100.00,100.00,17.68,0.00,318
2020-08-11,0.00,100.00,100.00,100.00,17.68,0.00,318
2020-08-04,0.00,100.00,100.00,100.00,17.68,0.00,318
2020-07-28,0.00,100.00,100.00,100.00,3.76,0.00,304
2020-07-21,0.00,100.00,100.00,17.75,0.00,0.00,218
2020-07-14,0.00,100.00,100.00,17.75,0.00,0.00,218
2020-07-07,0.00,100.00,100.00,17.75,0.00,0.00,218
2020-06-30,0.00,100.00,100.00,17.75,0.00,0.00,218
2020-06-23,0.00,100.00,100.00,17.75,0.00,0.00,218
2020-06-16,0.00,100.00,100.00,0.00,0.00,0.00,200
2020-06-09,0.00,100.00,96.63,0.00,0.00,0.00,197
2020-06-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2020-05-26,8.99,91.01,0.00,0.00,0.00,0.00,91
2020-05-19,14.72,85.28,0.00,0.00,0.00,0.00,85
2020-05-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-05-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-04-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-03-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-02-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-28,90.07,9.93,0.00,0.00,0.00,0.00,10
2020-01-21,90.07,9.93,0.00,0.00,0.00,0.00,10
2020-01-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2020-01-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-12-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-11-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-11-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-11-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-11-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-10-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-10-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-10-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-10-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-10-01,34.57,65.43,0.00,0.00,0.00,0.00,65
2019-09-24,35.03,64.97,0.00,0.00,0.00,0.00,65
2019-09-17,4.61,95.39,0.00,0.00,0.00,0.00,95
2019-09-10,4.61,95.39,0.00,0.00,0.00,0.00,95
2019-09-03,3.40,96.60,0.00,0.00,0.00,0.00,97
2019-08-27,16.40,83.60,0.00,0.00,0.00,0.00,84
2019-08-20,26.90,73.10,0.00,0.00,0.00,0.00,73
2019-08-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-08-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-07-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-06-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-05-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-04-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-03-12,93.95,6.05,0.00,0.00,0.00,0.00,6
2019-03-05,0.00,100.00,0.00,0.00,0.00,0.00,100
2019-02-26,0.00,100.00,0.00,0.00,0.00,0.00,100
2019-02-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-02-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-02-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-01-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-01-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-01-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-01-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2019-01-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-12-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-12-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-12-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-12-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-11-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-11-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-11-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-11-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-10-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-10-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-10-16,98.88,1.12,0.00,0.00,0.00,0.00,1
2018-10-09,87.80,12.20,0.90,0.00,0.00,0.00,13
2018-10-02,87.80,12.20,0.90,0.00,0.00,0.00,13
2018-09-25,87.80,12.20,0.90,0.00,0.00,0.00,13
2018-09-18,87.80,12.20,0.90,0.00,0.00,0.00,13
2018-09-11,87.80,12.20,0.90,0.00,0.00,0.00,13
2018-09-04,51.72,48.28,0.90,0.00,0.00,0.00,49
2018-08-28,51.72,48.28,0.90,0.00,0.00,0.00,49
2018-08-21,51.72,48.28,0.90,0.00,0.00,0.00,49
2018-08-14,0.00,100.00,0.90,0.00,0.00,0.00,101
2018-08-07,0.00,100.00,36.95,0.00,0.00,0.00,137
2018-07-31,0.00,100.00,36.95,0.00,0.00,0.00,137
2018-07-24,0.00,100.00,38.63,0.00,0.00,0.00,139
2018-07-17,0.00,100.00,39.18,0.00,0.00,0.00,139
2018-07-10,0.00,100.00,89.36,0.00,0.00,0.00,189
2018-07-03,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-06-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-06-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2018-06-12,43.10,56.90,0.00,0.00,0.00,0.00,57
2018-06-05,0.00,100.00,7.58,0.00,0.00,0.00,108
2018-05-29,0.00,100.00,99.36,13.07,0.00,0.00,212
2018-05-22,0.00,100.00,100.00,2.51,0.00,0.00,203
2018-05-15,0.00,100.00,100.00,1.68,0.00,0.00,202
2018-05-08,0.00,100.00,91.30,0.00,0.00,0.00,191
2018-05-01,0.00,100.00,91.30,0.00,0.00,0.00,191
2018-04-24,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-04-17,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-04-10,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-04-03,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-03-27,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-03-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2018-03-13,0.00,100.00,62.53,0.00,0.00,0.00,163
2018-03-06,0.00,100.00,62.53,0.00,0.00,0.00,163
2018-02-27,0.00,100.00,62.53,0.00,0.00,0.00,163
2018-02-20,0.00,100.00,62.53,0.00,0.00,0.00,163
2018-02-13,0.00,100.00,62.53,0.00,0.00,0.00,163
2018-02-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-01-30,0.00,100.00,0.00,0.00,0.00,0.00,100
2018-01-23,24.24,75.76,0.00,0.00,0.00,0.00,76
2018-01-16,51.63,48.37,0.00,0.00,0.00,0.00,48
2018-01-09,51.20,48.80,0.00,0.00,0.00,0.00,49
2018-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-12-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-12-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-12-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-12-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-11-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-11-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-11-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-11-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-10-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-09-19,99.94,0.06,0.00,0.00,0.00,0.00,0
2017-09-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-09-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-08-01,10.57,89.43,0.00,0.00,0.00,0.00,89
2017-07-25,2.68,97.32,0.00,0.00,0.00,0.00,97
2017-07-18,2.68,97.32,0.00,0.00,0.00,0.00,97
2017-07-11,2.68,97.32,0.00,0.00,0.00,0.00,97
2017-07-04,0.15,99.85,0.00,0.00,0.00,0.00,100
2017-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-06-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-05-30,99.97,0.03,0.00,0.00,0.00,0.00,0
2017-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-04-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-04-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2017-03-28,90.54,9.46,0.00,0.00,0.00,0.00,9
2017-03-21,90.54,9.46,0.00,0.00,0.00,0.00,9
2017-03-14,7.63,92.37,0.00,0.00,0.00,0.00,92
2017-03-07,94.67,5.33,0.00,0.00,0.00,0.00,5
2017-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
