pixel_id,longitude,latitude
1,-103.64397930480972,31.871911870211182
2,-103.64370981022448,31.871911870211182
3,-103.64344031563924,31.871911870211182
4,-103.64317082105401,31.871911870211182
5,-103.64290132646877,31.871911870211182
6,-103.64263183188353,31.871911870211182
7,-103.6423623372983,31.871911870211182
8,-103.64209284271307,31.871911870211182
9,-103.64182334812783,31.871911870211182
10,-103.64155385354259,31.871911870211182
11,-103.64128435895735,31.871911870211182
12,-103.64101486437212,31.871911870211182
13,-103.64074536978688,31.871911870211182
14,-103.64047587520164,31.871911870211182
15,-103.64397930480972,31.87218136479642
16,-103.64370981022448,31.87218136479642
17,-103.64344031563924,31.87218136479642
18,-103.64317082105401,31.87218136479642
19,-103.64290132646877,31.87218136479642
20,-103.64263183188353,31.87218136479642
21,-103.6423623372983,31.87218136479642
22,-103.64209284271307,31.87218136479642
23,-103.64182334812783,31.87218136479642
24,-103.64155385354259,31.87218136479642
25,-103.64128435895735,31.87218136479642
26,-103.64101486437212,31.87218136479642
27,-103.64074536978688,31.87218136479642
28,-103.64047587520164,31.87218136479642
29,-103.64397930480972,31.872450859381654
30,-103.64370981022448,31.872450859381654
31,-103.64344031563924,31.872450859381654
32,-103.64317082105401,31.872450859381654
33,-103.64290132646877,31.872450859381654
34,-103.64263183188353,31.872450859381654
35,-103.6423623372983,31.872450859381654
36,-103.64209284271307,31.872450859381654
37,-103.64182334812783,31.872450859381654
38,-103.64155385354259,31.872450859381654
39,-103.64128435895735,31.872450859381654
40,-103.64101486437212,31.872450859381654
41,-103.64074536978688,31.872450859381654
42,-103.64047587520164,31.872450859381654
43,-103.64397930480972,31.87272035396689
44,-103.64370981022448,31.87272035396689
45,-103.64344031563924,31.87272035396689
46,-103.64317082105401,31.87272035396689
47,-103.64290132646877,31.87272035396689
48,-103.64263183188353,31.87272035396689
49,-103.6423623372983,31.87272035396689
50,-103.64209284271307,31.87272035396689
51,-103.64182334812783,31.87272035396689
52,-103.64155385354259,31.87272035396689
53,-103.64128435895735,31.87272035396689
54,-103.64101486437212,31.87272035396689
55,-103.64074536978688,31.87272035396689
56,-103.64047587520164,31.87272035396689
57,-103.64397930480972,31.872989848552127
58,-103.64370981022448,31.872989848552127
59,-103.64344031563924,31.872989848552127
60,-103.64317082105401,31.872989848552127
61,-103.64290132646877,31.872989848552127
62,-103.64263183188353,31.872989848552127
63,-103.6423623372983,31.872989848552127
64,-103.64209284271307,31.872989848552127
65,-103.64182334812783,31.872989848552127
66,-103.64155385354259,31.872989848552127
67,-103.64128435895735,31.872989848552127
68,-103.64101486437212,31.872989848552127
69,-103.64074536978688,31.872989848552127
70,-103.64047587520164,31.872989848552127
71,-103.64397930480972,31.873259343137363
72,-103.64370981022448,31.873259343137363
73,-103.64344031563924,31.873259343137363
74,-103.64317082105401,31.873259343137363
75,-103.64290132646877,31.873259343137363
76,-103.64263183188353,31.873259343137363
77,-103.6423623372983,31.873259343137363
78,-103.64209284271307,31.873259343137363
79,-103.64182334812783,31.873259343137363
80,-103.64155385354259,31.873259343137363
81,-103.64128435895735,31.873259343137363
82,-103.64101486437212,31.873259343137363
83,-103.64074536978688,31.873259343137363
84,-103.64047587520164,31.873259343137363
85,-103.64397930480972,31.8735288377226
86,-103.64370981022448,31.8735288377226
87,-103.64344031563924,31.8735288377226
88,-103.64317082105401,31.8735288377226
89,-103.64290132646877,31.8735288377226
90,-103.64263183188353,31.8735288377226
91,-103.6423623372983,31.8735288377226
92,-103.64209284271307,31.8735288377226
93,-103.64182334812783,31.8735288377226
94,-103.64155385354259,31.8735288377226
95,-103.64128435895735,31.8735288377226
96,-103.64101486437212,31.8735288377226
97,-103.64074536978688,31.8735288377226
98,-103.64047587520164,31.8735288377226
99,-103.64397930480972,31.873798332307835
100,-103.64370981022448,31.873798332307835
101,-103.64344031563924,31.873798332307835
102,-103.64317082105401,31.873798332307835
103,-103.64290132646877,31.873798332307835
104,-103.64263183188353,31.873798332307835
105,-103.6423623372983,31.873798332307835
106,-103.64209284271307,31.873798332307835
107,-103.64182334812783,31.873798332307835
108,-103.64155385354259,31.873798332307835
109,-103.64128435895735,31.873798332307835
110,-103.64101486437212,31.873798332307835
111,-103.64074536978688,31.873798332307835
112,-103.64047587520164,31.873798332307835
113,-103.64397930480972,31.87406782689307
114,-103.64370981022448,31.87406782689307
115,-103.64344031563924,31.87406782689307
116,-103.64317082105401,31.87406782689307
117,-103.64290132646877,31.87406782689307
118,-103.64263183188353,31.87406782689307
119,-103.6423623372983,31.87406782689307
120,-103.64209284271307,31.87406782689307
121,-103.64182334812783,31.87406782689307
122,-103.64155385354259,31.87406782689307
123,-103.64128435895735,31.87406782689307
124,-103.64101486437212,31.87406782689307
125,-103.64074536978688,31.87406782689307
126,-103.64047587520164,31.87406782689307
